"title","description","price","salePercentage","recentReviews","allReviews"
"Ori and the Will of the Wisps","Play the critically acclaimed masterpiece. Embark on a new journey in a vast, exotic world where you’ll encounter towering enemies and challenging puzzles on your quest to unravel Ori’s destiny.","$9.89","-67%","Overwhelmingly Positive","Overwhelmingly Positive"
"Flashing Lights - Police, Firefighting, Emergency Services (EMS) Simulator","Play solo or in up to 10-player multiplayer co-op! Flashing Lights is an open world police, firefighting and EMS simulator game with plenty of opportunity for role-play or more relaxed fun with friends. Become the law or save lives! Discover leagues of player-created mods!","$8.49","-66%","Very Positive","Very Positive"
"Thronefall","A minimalist game about building and defending your little kingdom.","$5.24","-25%","Overwhelmingly Positive","Overwhelmingly Positive"
"DRAGON QUEST® XI S: Echoes of an Elusive Age™ - Definitive Edition","The Definitive Edition includes the critically acclaimed DRAGON QUEST XI, plus additional scenarios, orchestral soundtrack, 2D mode and more! Whether you are a longtime fan or a new adventurer, this is the ultimate DQXI experience.","$23.99","-40%","Very Positive","Very Positive"
"UNDYING","As Anling’s zombie infection sets in, her days are numbered. The struggle to survive is made ever more paramount as she must ensure her son Cody stays alive. She must teach him how to survive in this new world at any cost…","$13.99","-30%","Mostly Positive","Mostly Positive"
"Headbangers: Rhythm Royale","Headbangers is a light-hearted, Rhythm Battle Royale Game where you and 29 other Pigeons compete against each other, all to complete your quest of claiming the title of Master Headbanger!","$13.39","-33%","Very Positive","Very Positive"
"Bendy and the Dark Revival","Bendy and the Dark Revival® is a first-person survival horror game set in the creepiest cartoon studio to ever exist. Discover the truth. Escape the studio. Above all, fear the Ink Demon…and survive.","$5.99","-80%","Very Positive","Very Positive"
"CARRION","CARRION is a reverse horror game in which you assume the role of an amorphous creature of unknown origins, stalking and consuming those that imprisoned you.","$5.99","-70%","Very Positive","Very Positive"
"Thymesia","Thymesia is a gruelling action-RPG with fast-paced combat and an intricate plague weapon system. In a kingdom where death spreads, play as a mysterious character known by the code name ""Corvus"". Prey upon your enemies, wield the power of disease and find the truth in your own memories.","$14.99","-40%","Very Positive","Very Positive"
"Boxes: Lost Fragments","As a legendary thief, your next assignment lures you into a grand and lavish mansion. There you find a series of puzzle boxes, designed for an unknown purpose. What should have been a quick in-and-out, gradually turns into your own harrowing struggle for freedom and answers.","$13.49","-10%","Very Positive","Very Positive"
"HELLCARD","Hellcard is a unique cooperative deck builder rogue-like game. Descend into the paper dungeons on your own, recruit computer-controlled companions or join other players' lobbies in fast-paced tactical card battles against the armies of darkness and the Archdemon himself!","$15.79","-21%","Very Positive","Very Positive"
"Moonbreaker","Moonbreaker is a turn-based strategy, tactical skirmish game. The game is designed to be a true digital miniatures experience, set in an expansive sci-fi universe crafted by Brandon Sanderson. Direct Captain and Crew in gripping, ever-changing competition and adventure.","$22.49","-25%","Very Positive","Very Positive"
"BlazBlue Entropy Effect","Artistic and Magnificent Combat Action, incredibly satisfying combos! Numerous characters, hundreds of moves! This unique action roguelite game will bring you an experience that exceeds expectations.","$17.15","-22%","Mostly Positive","Mostly Positive"
"Poppy Playtime - Chapter 3","","$9.89","-34%","Very Positive","Very Positive"
"Ready or Not","Ready or Not is an intense, tactical, first-person shooter that depicts a modern-day world in which SWAT police units are called to defuse hostile and confronting situations.","$37.49","-25%","Mostly Positive","Mostly Positive"
"FINAL FANTASY VII REMAKE INTERGRADE","Cloud Strife, an ex-SOLDIER operative, descends on the mako-powered city of Midgar. The world of the timeless classic FINAL FANTASY VII is reborn, using cutting-edge graphics technology, a new battle system and an additional adventure featuring Yuffie Kisaragi.","$34.99","-50%","Very Positive","Very Positive"
"Destiny 2","Destiny 2 is an action MMO with a single evolving world that you and your friends can join anytime, anywhere, absolutely free.","$14.99","-75%","Mostly Positive","Mostly Positive"
"Hogwarts Legacy","Hogwarts Legacy is an immersive, open-world action RPG. Now you can take control of the action and be at the center of your own adventure in the wizarding world.","$35.99","-40%","Very Positive","Very Positive"
"Dead by Daylight","Dead by Daylight is a multiplayer (4vs1) horror game where one player takes on the role of the savage Killer, and the other four players play as Survivors, trying to escape the Killer and avoid being caught and killed.","$7.99","-60%","Very Positive","Very Positive"
"Hell Let Loose","Join the ever expanding experience of Hell Let Loose - a hardcore World War Two first person shooter with epic battles of 100 players with infantry, tanks, artillery, a dynamically shifting front line and a unique resource based RTS-inspired meta-game.","$42.24","-35%","Very Positive","Very Positive"
"HELLDIVERS™ 2 - Upgrade to Super Citizen Edition","","$59.99","","",""
"Arms Trade Tycoon: Tanks","Arms Trade Tycoon: Tanks is a unique combination of tank design and tycoon game. It puts you in charge of an arms trading company specialized in tanks from WWI to the modern era. Research, design, sell and follow your tanks in battle to make your own history!","","","",""
"Vampire: The Masquerade - Justice","Become a vampire. Strike from the darkness and drink the blood of your prey. Use stealth, persuasion, and an arsenal of upgradable abilities to sneak past enemies undetected or punish the guilty in the seedy backstreets of nighttime Venice.","","","",""
"Halo Infinite","From one of gaming's most iconic sagas, Halo is bigger than ever. Featuring an expansive open-world campaign and a dynamic free to play multiplayer experience.","$23.99","-60%","Mostly Positive","Mostly Positive"
"CLeM","CLeM is a narrative-driven puzzle adventure game with a dark twist. Wake up in a world where puzzles intertwine with exploration, weaving a unique narrative rooted in alchemy. A voice awakens you. It gives you purpose. To guide you, you find a notebook with mysterious entries and a house to explore.","","","",""
"Shanghai Summer","Shanghai Summer is an adventure game set in the millennium. Our protagonist, Baichuan, goes through a series of ""anomalies"" over the length of twelve days. In his pursuit of the truth, he found that his hopes and regrets from the past finally seem to converge. Will he be able to ""fix"" it for good?","","","",""
"Touhou Danmaku Kagura Phantasia Lost","A rhythm game in which players can play popular arrangements of Touhou Project songs. A rebuild of ""Touhou Danmaku Kagura"" as a stand-alone version with a completely new storyline.","","","",""
"KONOSUBA - God's Blessing on this Wonderful World! Love For These Clothes Of Desire!","It's time for a Visual Novel Quest with a twist! Join Kazuma, a reincarnated adventurer, and spend turbulent days with his unfortunate party members. Prepare for waifus, dress-up and resource management and get ready for an Isekai comedy that’s out of this world!","","","",""
